iter	RMSE
0	14.13890159
1	13.23015188
2	12.38371406
3	11.63243403
4	10.92924365
5	10.43971595
6	9.896884474
7	9.445569217
8	9.033881785
9	8.617018061
10	8.236505133
11	7.947495334
12	7.671664145
13	7.415638695
14	7.212721063
15	6.98803643
16	6.808108006
17	6.635590858
18	6.484285471
19	6.368107088
20	6.253912841
21	6.15604537
22	6.062660884
23	5.988988474
24	5.896938862
25	5.841567306
26	5.771962642
27	5.718993804
28	5.67799155
29	5.629880958
30	5.58232288
31	5.546825021
32	5.503417718
33	5.473845314
34	5.436643194
35	5.395740532
36	5.370261901
37	5.346579922
38	5.317506354
39	5.298195576
40	5.278336122
41	5.262868804
42	5.24547154
43	5.237112694
44	5.219656253
45	5.2004142
46	5.179872495
47	5.163668904
48	5.152303478
49	5.135118554
50	5.119740022
51	5.098781783
52	5.096213107
53	5.093564663
54	5.07510941
55	5.059419191
56	5.04432582
57	5.036311533
58	5.027246663
59	5.017321529
60	5.007843849
61	4.992693666
62	4.982322823
63	4.967991843
64	4.955346897
65	4.945179838
66	4.935180792
67	4.920568378
68	4.916747788
69	4.905720712
70	4.901903032
71	4.886473425
72	4.881332157
73	4.868140452
74	4.860847828
75	4.851597724
76	4.845295421
77	4.828539769
78	4.81937173
79	4.808991756
80	4.801607343
81	4.796896049
82	4.784024281
83	4.775192589
84	4.766418272
85	4.759620214
86	4.752196306
87	4.746072666
88	4.737980908
89	4.734687358
90	4.731660798
91	4.723158337
92	4.718335841
93	4.70630299
94	4.704213482
95	4.700226641
96	4.697769578
97	4.693774513
98	4.691856982
99	4.680426004
